,total_cup_points,species,owner,country_of_origin,company,altitude,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,volume
0,90.58,Arabica,metad plc,Ethiopia,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60.0,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,0.12,0,0.0,Green,0,"April 3rd, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1950.0,2200.0,2075.0,18000
1,89.92,Arabica,metad plc,Ethiopia,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60.0,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,0.12,0,0.0,Green,1,"April 3rd, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1950.0,2200.0,2075.0,18000
3,89.0,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew debessa coffee plantation,1800-2200,oromia,Yidnekachew Dabessa Coffee Plantation,320,60.0,METAD Agricultural Development plc,2014,"March 26th, 2015",Yidnekachew Dabessa,,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,0.11,0,0.0,Green,2,"March 25th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1800.0,2200.0,2000.0,19200
4,88.83,Arabica,metad plc,Ethiopia,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60.0,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,0.12,0,0.0,Green,2,"April 3rd, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1950.0,2200.0,2075.0,18000
7,88.67,Arabica,ethiopia commodity exchange,Ethiopia,,1570-1700,oromia,Bazen Agricultural & Industrial Dev't Plc,300,60.0,Ethiopia Commodity Exchange,March 2010,"September 2nd, 2010",Ethiopia Commodity Exchange,,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,0.03,0,0.0,,0,"September 2nd, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,1570.0,1700.0,1635.0,18000
10,88.08,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,1855-1955,oromia,Fahem Coffee Plantation,300,60.0,METAD Agricultural Development plc,2014,"March 27th, 2015",Mohammed Lalo,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,0.1,0,0.0,,1,"March 26th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1855.0,1955.0,1905.0,18000
24,87.08,Arabica,ji-ae ahn,Ethiopia,,,sidamo,,100,60.0,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Ji-Ae Ahn,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,0.11,0,0.0,Bluish-Green,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,,,1725.0,6000
25,86.92,Arabica,nucoffee,Brazil,nucoffee,1250m,south of minas,Ralph Junqueira,3,60.0,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,0.12,0,0.0,Green,2,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250.0,1250.0,1250.0,180
26,86.92,Arabica,ethiopia commodity exchange,Ethiopia,,,sidamo,Green Gold Ethiopia | Phone: 0114342032,150,6.0,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,0.05,0,0.0,,2,"June 16th, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,,,1725.0,900
28,86.67,Arabica,bismarck castro,Honduras,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,275,69.0,Instituto Hondureño del Café,2016,"May 18th, 2017",Bismarck Castro,Caturra,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,0.1,0,0.0,Green,3,"May 18th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1400.0,1400.0,1400.0,18975
32,86.42,Arabica,nucoffee,Brazil,nucoffee,1300,vale da grama,Homero Texeira de Macedo Junior,29,60.0,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,0.12,0,0.0,Green,2,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1300.0,1300.0,1300.0,1740
34,86.25,Arabica,hider abamecha,Ethiopia,haider abamecha coffee export,1750-1800,oromia,Haider Abamecha Abadiko,320,60.0,METAD Agricultural Development plc,2014,"March 27th, 2015",Hider Abamecha,,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,0.1,0,0.0,Green,3,"March 26th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1750.0,1800.0,1775.0,19200
44,86.08,Arabica,jungle estate,Kenya,keremara limited,1754,nyeri,JUNGLE ESTATE,12,60.0,Kenya Coffee Traders Association,2014,"January 29th, 2015",Jungle Estate,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,0.11,0,0.0,Bluish-Green,2,"January 29th, 2016",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1754.0,1754.0,1754.0,720
45,86.08,Arabica,nucoffee,Brazil,nucoffee,1250m,south of minas,Ralph Junqueira,7,60.0,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,0.11,0,0.0,Blue-Green,2,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250.0,1250.0,1250.0,420
46,86.0,Arabica,great lakes coffee uganda,Uganda,ucda,,eastern uganda,Kaasay Farmer Group,1,60.0,Uganda Coffee Development Authority,2014,"October 1st, 2014",Great Lakes Coffee Uganda,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,0.0,0,0.0,,0,"October 1st, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,,,1775.0,60
48,86.0,Arabica,lusso lab,Kenya,lusso coffee lab,1520m-2200m,kiambu,,1,1.0,Specialty Coffee Association,2013,"February 6th, 2014",LUSSO LAB,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,0.11,0,0.0,Green,1,"February 6th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1520.0,2200.0,1860.0,1
49,86.0,Arabica,afca,Uganda,kawacom uganda ltd,1400-1900m,"sipi, mt elgon",Kawacom,1,60.0,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,0.1,0,0.0,Blue-Green,0,"February 12th, 2013",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1400.0,1900.0,1650.0,60
50,86.0,Arabica,ethiopia commodity exchange,Ethiopia,,1500-2000 m,sidamo,Sidama Coffee Farmers Coop. Union,300,6.0,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,0.01,0,0.0,,4,"June 17th, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,1500.0,2000.0,1750.0,1800
52,85.92,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",,nuevo oriente,MARGARITA AVILA DE NUYENS,80,69.0,Asociacion Nacional Del Café,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,0.1,0,1.0,Green,3,"May 16th, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,,,1552.685,5520
53,85.92,Arabica,kawacom uganda ltd,Uganda,kawacom uganda ltd,1400-1900,eastern,Kawacom (U)Ltd,1,60.0,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,0.12,0,0.0,Green,0,"June 30th, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1400.0,1900.0,1650.0,60
54,85.92,Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,1800 msnm,huila,,275,70.0,Almacafé,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,0.0,1,0.0,Blue-Green,0,"July 26th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800.0,1800.0,1800.0,19250
56,85.83,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,ibrahim hussien specality coffee product & exporter,1800-2000,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60.0,METAD Agricultural Development plc,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,0.1,0,0.0,Green,4,"April 3rd, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1800.0,2000.0,1900.0,19200
58,85.83,Arabica,juan luis alvarado romero,Guatemala,unicafe,4650,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1.0,Asociacion Nacional Del Café,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,0.1,0,0.0,Bluish-Green,1,"June 5th, 2013",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1417.32,1417.32,1417.32,275
59,85.75,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,,addis ababa,seid damtew coffee export and plantation,320,19200.0,METAD Agricultural Development plc,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,0.09,0,4.0,None,7,"June 23rd, 2018",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,,,2355.0,6144000
62,85.58,Arabica,atlantic specialty coffee,El Salvador,atlantic specialty coffee,1500 meters,apaneca,Aida Batlle,275,2.0,Specialty Coffee Association,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,0.1,0,0.0,Blue-Green,3,"March 18th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1500.0,1500.0,1500.0,550
67,85.5,Arabica,assefa belay coffee producer,Ethiopia,assefa belay coffee producer,1800-2000,oromia,Assefa Belay Coffee Producer,320,60.0,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,0.12,0,0.0,Green,7,"March 30th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1800.0,2000.0,1900.0,19200
69,85.5,Arabica,juan luis alvarado romero,Guatemala,exportcafe,5600-5760 metros,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250,69.0,Asociacion Nacional Del Café,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,0.11,0,0.0,Green,1,"February 26th, 2014",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1706.88,1755.648,1731.264,17250
70,85.42,Arabica,assefa belay coffee producer,Ethiopia,assefa belay coffee producer,1800-2000,oromia,Assefa Belay Coffee Producer,320,60.0,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,0.1,0,0.0,Green,18,"March 30th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1800.0,2000.0,1900.0,19200
73,85.42,Arabica,nucoffee,Brazil,nucoffee,1250m,south of minas,José Vagner Ribeiro Junqueira,5,60.0,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,0.11,0,0.0,Blue-Green,1,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250.0,1250.0,1250.0,300
74,85.42,Arabica,grounds for health admin,El Salvador,,1400 m,apaneca,J. Hill y Cia SA de CV,2,1.0,Specialty Coffee Association,2009 / 2010,"May 31st, 2010",Grounds for Health Admin,,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,0.01,0,0.0,,0,"May 31st, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1400.0,1400.0,1400.0,2
76,85.33,Arabica,essencecoffee,Guatemala,essence coffee,1770,huehuetenango,Arturo Aguirre,36,30.0,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,0.11,0,0.0,Green,1,"May 22nd, 2016",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1770.0,1770.0,1770.0,1080
